ＥＤＩＮＥＴコード,提出者名（英字）
E00804,"ISHIHARA CHEMICAL CO.,LTD."
E00805,STELLA CHEMIFA CORPORATION
E00808,Mitsubishi Chemical Gloup Corporation
E00809,"Hodogaya Chemical Co.,Ltd."
E00810,"TAOKA CHEMICAL COMPANY, LIMITED"
E00811,"NIPPON SHOKUBAI CO., LTD."
E00812,"Honshu Chemical Industry Co.,Ltd."
E00813,Kawasaki Kasei Chemicals Ltd.
E00815,"MITSUBISHI GAS CHEMICAL COMPANY,INC."
E00816,"Kyowa Kirin Co.,Ltd."
E00818,DAICEL CORPORATION
E00819,Sumitomo Bakelite Company Limited
E00820,"Sekisui Chemical Co.,Ltd."
E00821,ZEON CORPORATION
E00823,C.I. TAKIRON Corporation
E00824,"Aica Kogyo Company, Limited"
E00828,"KUMIAI CHEMICAL INDUSTRY CO., LTD."
E00829,"FUKUVI CHEMICAL INDUSTRY CO.,LTD."
E00830,ASAHI YUKIZAI CORPORATION
E00832,"FUJIKURA KASEI CO,.LTD."
E00833,"Mitsubishi Plastics, Inc."
E00834,"Okura Industrial Co.,Ltd."
E00836,"NIPPON KAYAKU CO.,LTD."
E00837,"KOEI CHEMICAL COMPANY,LIMITED"
E00838,RIKEN TECHNOS CORPORATION
E00839,"KODAMA CHEMICAL INDUSTRY CO.,LTD."
E00840,"Mitsui Chemicals, Inc."
E00841,SHIKOKU KASEI HOLDINGS CORPOLATION
E00842,TODA KOGYO CORP.
E00844,TAIHEI  CHEMICALS  LIMITED.
E00845,"Sekisui Kasei Co.,Ltd."
E00846,"Onamba Co.,Ltd."
E00848,"YUKI GOSEI KOGYO CO.,LTD."
E00850,"HOSOYA PYRO-ENGINEERING CO., LTD."
E00852,"Nippon Fine Chemical Co., Ltd."
E00854,"TOKYO OHKA KOGYO CO., LTD."
E00855,OSAKA ORGANIC CHEMICAL INDUSTRY LTD.
E00857,TENMA CORPORATION
E00858,JSP Corporation
E00860,"AGRO-KANESHO CO.,LTD."
E00861,"MAEZAWA KASEI INDUSTRIES CO.,LTD."
E00863,"Maruto Sangyo Co., Ltd"
E00865,"JAPAN U-PICA COMPANY,LTD."
E00866,sanko gosei ltd.
E00867,"YAMATO INDUSTRY COMPANY,LIMITED"
E00868,"CHEMIPRO KASEI KAISHA,LTD"
E00870,"Ono Sangyo Co., Ltd."
E00871,TAKAGI SEIKO CORPORATION
E00872,TEIJIN LIMITED
E00873,"TORAY INDUSTRIES,INC."
E00876,"KURARAY CO.,LTD."
E00877,Asahi Kasei Corporation
E00878,ADEKA CORPORATION
E00879,KANEKA CORPORATION
E00880,NOF CORPORATION
E00881,"MiyoshiOil&FatCo.,Ltd."
E00882,"New Japan Chemical Co., Ltd."
E00883,Kao Corporation
E00884,"SANYO CHEMICAL INDUSTRIES,LTD."
E00885,DKS Co. Ltd.
E00886,"TOHO CHEMICAL INDUSTRY COMPANY,LIMITED"
E00887,"NICCA CHEMICAL CO.,LTD."
E00888,"MATSUMOTO YUSHI-SEIYAKU CO.,LTD."
E00890,"Niitaka Co., Ltd."
E00891,"Dai Nippon Toryo Company, Limited"
E00892,"NIPPON PAINT HOLDINGS CO.,LTD."
E00893,"KANSAI PAINT CO.,LTD."
E00895,"SHINTO PAINT COMPANY, LIMITED"
E00896,"KAWAKAMI PAINT MANUFACTURING CO.,LTD."
E00897,"CHUGOKU MARINE PAINTS,LTD."
E00898,"NIHON PARKERIZING CO., LTD."
E00899,Nippon Pigment Company Limited
E00900,"Nihon Tokushu Toryo Co., Ltd."
E00901,DIC Corporation
E00902,"Dainichiseika Color & Chemicals Mfg. Co., Ltd."
E00903,"artience CO., LTD."
E00904,"TOKYO PRINTING INK MFG. CO., LTD."
E00905,SAKATA INX CORPORATION
E00906,"SUGAI CHEMICAL INDUSTRY CO., LTD."
E00909,ASAHIPEN CORPORATION
E00910,"Isamu Paint co., Ltd."
E00911,"ATOMIX CO., LTD."
E00912,"KIKUSUI CHEMICAL INDUSTRIES CO.,LTD."
E00913,"TAIYO HOLDINGS CO., LTD."
E00915,"NATOCO CO.,LTD."
E00916,"SK KAKEN CO.,LTD."
E00917,"DAISHIN CHEMICAL CO.,LTD."
E00919,Takeda Pharmaceutical Company Limited
E00920,Astellas Pharma Inc.
E00922,"Sumitomo Pharma Co., Ltd."
E00923,"Shionogi & Co.,Ltd."
E00926,"TOC Co.,Ltd"
E00928,"WAKAMOTO PHARMACEUTICAL CO.,LTD."
E00929,"ASKA pharmaceutical Co., Ltd."
E00931,"Nippon Shinyaku Co.,Ltd."
E00932,"CHUGAI PHARMACEUTICAL CO., LTD."
E00934,"TORII PHARMACEUTICAL CO., LTD."
E00935,"KAKEN PHARMACEUTIAL CO., LTD."
E00937,"NIHON NOHYAKU CO., LTD."
E00939,"Eisai Co., Ltd."
E00941,"MORISHITA JINTAN CO.,LTD."
E00942,"ROHTO PHARMACEUTICAL CO.,LTD."
E00944,"HISAMITSU PHARMACEUTICAL CO.,INC."
E00945,"ONO PHARMACEUTICAL CO., LTD."
E00947,"Mochida Pharmaceutical Co.,Ltd."
E00948,"ZERIA PHARMCEUTICAL CO., LTD."
E00949,"SANTEN PHARMACEUTICAL CO.,LTD."
E00952,"Riken Vitamin Co., Ltd."
E00953,"Fuso Pharmaceutical Industries,Ltd."
E00954,"SATO PHARMACEUTICAL CO.,LTD."
E00957,"NIPPON CHEMIPHAR CO., LTD."
E00959,"KOKANDO CO.,LTD."
E00961,"EIKEN CHEMICAL CO.,LTD."
E00962,"KISSEI PHARMACEUTICAL CO.,LTD."
E00963,"Nichi-Iko Pharmaceutical Co., Ltd."
E00965,"SENJU PHARMACEUTICAL CO.,LTD."
E00967,"H.U. Group Holdings, Inc."
E00970,SEIKAGAKU CORPORATION
E00971,"Nissui Pharmaceutical  Co.,  Ltd."
E00973,"JCR Pharmaceuticals Co.,Ltd."
E00974,"TOWA PHARMACEUTICAL CO.,LTD."
E00975,"Fuji Pharma Co.,Ltd."
E00977,"kainos loboratories,inc"
E00978,"MEDICAL&BIOLOGICAL LABORATORIES CO., LTD."
E00981,"Nxera Pharma Co., Ltd."
E00982,"LTT Bio-Pharma Co., Ltd."
E00984,"DAIICHI SANKYO COMPANY, LIMITED"
E00985,"KYORIN Pharmaceutical Co., Ltd."
E00986,"Immuno-Biological Laboratories Co., Ltd."
E00987,"Carna Biosciences, Inc."
E00988,FUJIFILM Holdings Corporation
E00989,"KONICA MINOLTA, INC."
E00990,"Shiseido Company, Limited"
E00991,Lion Corporation
E00993,TAKASAGO INTERNATIONAL CORPORATION
